Date,Name,Year,Letterboxd URI,Rating
2022-07-10,Echo of a Punch on the Bone,2021,https://boxd.it/wDW2,3.5
2022-07-10,Da Janela Vejo o Mundo,2021,https://boxd.it/wmjC,4
2022-07-10,Sideral,2021,https://boxd.it/vLSK,4
2022-07-22,"Pedro, Between the Devil and the Deep Blue Sea",2021,https://boxd.it/l9BQ,4
2022-07-23,Secret Friend,2022,https://boxd.it/BgeG,4.5
2022-07-23,Normal People,2020,https://boxd.it/q2VY,4.5
2022-07-24,King Car,2021,https://boxd.it/tggw,3
2022-07-25,Shithouse,2020,https://boxd.it/nCFc,4
2022-07-25,Cha Cha Real Smooth,2022,https://boxd.it/uF8E,5
2022-08-06,The Web,2013,https://boxd.it/cjy0,5
2022-08-13,Nathan for You: Finding Frances,2017,https://boxd.it/hufy,5
2022-08-15,Twenty Years Later,1984,https://boxd.it/33Oo,4.5
2022-08-16,Espera,2018,https://boxd.it/iJag,4.5
2022-08-21,Ghosts of Sugar Land,2019,https://boxd.it/lz52,4.5
2022-08-21,If Anything Happens I Love You,2020,https://boxd.it/qIv4,4
2022-08-24,Bad Luck Banging or Loony Porn,2021,https://boxd.it/tJOM,2
2022-08-28,Prey,2022,https://boxd.it/sNBU,4
2022-09-10,After Yang,2021,https://boxd.it/lx5a,4
2022-09-10,Elvis,2022,https://boxd.it/mK4w,4.5
2022-09-11,Stalker,1979,https://boxd.it/28PO,4.5
2022-09-12,The Elephant Man,1980,https://boxd.it/27LQ,4
2022-09-20,Memoria,2021,https://boxd.it/iwtE,4
2022-09-24,Eletrodoméstica,2005,https://boxd.it/6YzG,4.5
2022-09-24,Emilie Muller,1993,https://boxd.it/ewEO,4
2022-09-24,Soul in the Eye,1973,https://boxd.it/aFF4,4
2022-09-26,Antoine and Colette,1962,https://boxd.it/2aKQ,4
2022-10-01,Bodies Bodies Bodies,2022,https://boxd.it/iRcE,4
2022-10-01,Together Together,2021,https://boxd.it/tbg2,3.5
2022-10-22,The Souvenir,2019,https://boxd.it/gXU4,3.5
2022-10-26,Barbarian,2022,https://boxd.it/yohi,4.5
2022-10-28,Fresh,2022,https://boxd.it/tCNi,3.5
2022-10-28,We're All Going to the World's Fair,2021,https://boxd.it/tbmY,5
2022-10-28,Before Sunrise,1995,https://boxd.it/2bcU,4
2022-10-29,X,2022,https://boxd.it/sxVa,3
2022-10-29,Pearl,2022,https://boxd.it/zPbe,2
2022-10-30,Spontaneous,2020,https://boxd.it/mjPq,4
2022-10-31,The Black Phone,2021,https://boxd.it/sqFE,4
2022-11-02,Before Sunset,2004,https://boxd.it/2bcg,5
2022-11-03,Introduction,2021,https://boxd.it/tWbo,3.5
2022-11-03,Mars One,2022,https://boxd.it/yoPa,4.5
2022-11-06,Before Midnight,2013,https://boxd.it/4ive,4
2022-11-06,The Kissing Booth 2,2020,https://boxd.it/lrky,1
2022-11-06,Desperados,2020,https://boxd.it/qrd8,1
2022-11-13,In the Heart of the World,2019,https://boxd.it/l3NG,4.5
2022-11-16,Smile,2022,https://boxd.it/xjfE,4
2022-11-18,The Secret Life of Walter Mitty,2013,https://boxd.it/3SWy,4
2022-11-20,The Gospel According to St. Matthew,1964,https://boxd.it/1y7c,4.5
2022-11-28,Mulholland Drive,2001,https://boxd.it/297o,5
2022-11-29,The Mother,2022,https://boxd.it/sIVK,3.5
2022-12-02,Aftersun,2022,https://boxd.it/Arw0,5
2022-12-14,Drag Me to Hell,2009,https://boxd.it/1Jzw,3.5
2022-12-21,Guillermo del Toro's Pinocchio,2022,https://boxd.it/kjMW,4
2022-12-24,Glass Onion,2022,https://boxd.it/oCkK,5
2022-12-27,Bicycle Thieves,1948,https://boxd.it/23hW,4
2022-12-29,The Book of Delights,2020,https://boxd.it/mqBA,4.5
2022-12-29,Zoolander,2001,https://boxd.it/1YMA,3
2022-12-30,Tokyo Story,1953,https://boxd.it/1HuY,4.5
2022-12-30,Skinamarink,2022,https://boxd.it/ByDO,4
2022-12-30,Vertigo,1958,https://boxd.it/2apI,4.5
2022-12-31,I Want You Back,2022,https://boxd.it/poyU,4
2023-01-04,Limite,1931,https://boxd.it/20iW,3.5
2023-01-06,"Sherlock, Jr.",1924,https://boxd.it/298m,4
2023-01-06,A Dog's Life,1918,https://boxd.it/1b5s,4
2023-01-06,The General,1926,https://boxd.it/29co,4.5
2023-01-06,The Idle Class,1921,https://boxd.it/WIO,4
2023-01-06,L'Âge d'Or,1930,https://boxd.it/22FI,3
2023-01-08,Lady on the Bus,1978,https://boxd.it/2XWG,4
2023-01-12,The Bandit,1953,https://boxd.it/2fmu,3
2023-01-12,The Grand Moment,1958,https://boxd.it/5ROi,4
2023-01-17,"Rio, 100 Degrees F.",1955,https://boxd.it/4DUa,4.5
2023-01-17,Entranced Earth,1967,https://boxd.it/qkU,4.5
2023-01-18,Men and Women,1964,https://boxd.it/5T8e,4
2023-01-19,Avatar,2009,https://boxd.it/1Efm,4
2023-01-19,The Menu,2022,https://boxd.it/lScm,4
2023-01-20,The Fabelmans,2022,https://boxd.it/ugoM,4.5
2023-01-24,Avatar: The Way of Water,2022,https://boxd.it/2E2E,4
2023-01-25,Nope,2022,https://boxd.it/sDCe,5
2023-01-27,Barren Lives,1963,https://boxd.it/29uM,4
2023-01-31,The Deceased,1965,https://boxd.it/7DUg,4
2023-02-01,Tuesday,2015,https://boxd.it/AJsU,4
2023-02-02,Antonio das Mortes,1969,https://boxd.it/2Bcm,4
2023-02-04,The Man of the Crowd,2013,https://boxd.it/7GOq,3.5
2023-02-05,The Turning Wind,1962,https://boxd.it/1IM,4
2023-02-13,Titanic,1997,https://boxd.it/2a2k,4.5
2023-02-19,The Nice Guys,2016,https://boxd.it/94Hg,4
2023-02-20,Thor: Love and Thunder,2022,https://boxd.it/mMAY,4
2023-02-20,RRR,2022,https://boxd.it/ljDs,5
2023-02-22,The Given Word,1962,https://boxd.it/h6Y,4.5
2023-02-23,Decision to Leave,2022,https://boxd.it/qp9e,4.5
2023-02-24,Fire of Love,2022,https://boxd.it/yoPY,4.5
2023-02-24,The Lobster,2015,https://boxd.it/7tnw,2.5
